Flow rate,Darcy velocity,Temp,Pin,Pout,Time
10,0.00822,0,346,346,35.56
10,0.00822,0,349,348,71.12
10,0.00822,0,352,351,106.68
10,0.00822,0,355,355,142.24
10,0.00822,0,360,359,177.8
10,0.00822,0,362,361,213.36
10,0.00822,0,369,360,248.92
10,0.00822,0,374,360,284.48
10,0.00822,0,388,360,320.04
10,0.00822,0,410,360,355.6
10,0.00822,0,439,360,391.16
10,0.00822,0,448,360,426.72
10,0.00822,1,346,346,35.56
10,0.00822,1,359,358,71.12
10,0.00822,1,367,365,106.68
10,0.00822,1,379,377,142.24
10,0.00822,1,386,382,177.8
10,0.00822,1,399,390,213.36
10,0.00822,1,409,391,248.92
10,0.00822,1,422,391,284.48
10,0.00822,1,438,391,320.04
10,0.00822,1,459,391,355.6
10,0.00822,1,476,391,391.16
10,0.00822,1,498,391,426.72
10,0.00822,2,364,360,35.56
10,0.00822,2,369,368,71.12
10,0.00822,2,387,385,106.68
10,0.00822,2,397,397,142.24
10,0.00822,2,416,412,177.8
10,0.00822,2,439,434,213.36
10,0.00822,2,459,446,248.92
10,0.00822,2,472,446,284.48
10,0.00822,2,488,446,320.04
10,0.00822,2,509,446,355.6
10,0.00822,2,536,446,391.16
10,0.00822,2,559,446,426.72
10,0.00822,3,383,380,35.56
10,0.00822,3,399,398,71.12
10,0.00822,3,417,415,106.68
10,0.00822,3,448,447,142.24
10,0.00822,3,486,483,177.8
10,0.00822,3,519,514,213.36
10,0.00822,3,559,535,248.92
10,0.00822,3,572,535,284.48
10,0.00822,3,598,535,320.04
10,0.00822,3,619,535,355.6
10,0.00822,3,626,535,391.16
10,0.00822,3,629,535,426.72
10,0.00822,4,443,440,35.56
10,0.00822,4,479,478,71.12
10,0.00822,4,527,525,106.68
10,0.00822,4,550,547,142.24
10,0.00822,4,566,563,177.8
10,0.00822,4,589,581,213.36
10,0.00822,4,608,591,248.92
10,0.00822,4,626,591,284.48
10,0.00822,4,649,591,320.04
10,0.00822,4,665,591,355.6
10,0.00822,4,674,591,391.16
10,0.00822,4,688,591,426.72
10,0.00822,5,443,440,35.56
10,0.00822,5,499,493,71.12
10,0.00822,5,545,537,106.68
10,0.00822,5,570,566,142.24
10,0.00822,5,596,588,177.8
10,0.00822,5,622,613,213.36
10,0.00822,5,665,646,248.92
10,0.00822,5,686,646,284.48
10,0.00822,5,699,646,320.04
10,0.00822,5,715,646,355.6
10,0.00822,5,734,646,391.16
10,0.00822,5,744,646,426.72
20,0.01645,0,346,346,19.05
20,0.01645,0,349,348,38.1
20,0.01645,0,352,351,57.15
20,0.01645,0,355,355,76.2
20,0.01645,0,360,359,95.25
20,0.01645,0,362,361,114.3
20,0.01645,0,369,362,133.35
20,0.01645,0,374,362,152.4
20,0.01645,0,388,362,171.45
20,0.01645,0,410,362,190.5
20,0.01645,0,439,362,209.55
20,0.01645,0,448,362,228.6
20,0.01645,1,356,356,19.05
20,0.01645,1,369,368,38.1
20,0.01645,1,372,371,57.15
20,0.01645,1,385,385,76.2
20,0.01645,1,390,389,95.25
20,0.01645,1,402,391,114.3
20,0.01645,1,429,393,133.35
20,0.01645,1,454,393,152.4
20,0.01645,1,478,393,171.45
20,0.01645,1,489,393,190.5
20,0.01645,1,496,393,209.55
20,0.01645,1,509,393,228.6
20,0.01645,2,376,376,19.05
20,0.01645,2,389,388,38.1
20,0.01645,2,404,401,57.15
20,0.01645,2,421,415,76.2
20,0.01645,2,433,429,95.25
20,0.01645,2,442,441,114.3
20,0.01645,2,459,447,133.35
20,0.01645,2,474,447,152.4
20,0.01645,2,488,447,171.45
20,0.01645,2,509,447,190.5
20,0.01645,2,546,447,209.55
20,0.01645,2,567,447,228.6
20,0.01645,3,470,466,19.05
20,0.01645,3,489,478,38.1
20,0.01645,3,494,491,57.15
20,0.01645,3,511,505,76.2
20,0.01645,3,523,519,95.25
20,0.01645,3,542,531,114.3
20,0.01645,3,559,537,133.35
20,0.01645,3,574,537,152.4
20,0.01645,3,588,537,171.45
20,0.01645,3,599,537,190.5
20,0.01645,3,616,537,209.55
20,0.01645,3,638,537,228.6
20,0.01645,4,510,506,19.05
20,0.01645,4,519,518,38.1
20,0.01645,4,534,531,57.15
20,0.01645,4,561,555,76.2
20,0.01645,4,573,569,95.25
20,0.01645,4,592,581,114.3
20,0.01645,4,609,592,133.35
20,0.01645,4,624,592,152.4
20,0.01645,4,648,592,171.45
20,0.01645,4,669,592,190.5
20,0.01645,4,687,592,209.55
20,0.01645,4,695,592,228.6
20,0.01645,5,580,576,19.05
20,0.01645,5,589,588,38.1
20,0.01645,5,604,601,57.15
20,0.01645,5,619,615,76.2
20,0.01645,5,633,629,95.25
20,0.01645,5,642,641,114.3
20,0.01645,5,669,648,133.35
20,0.01645,5,684,648,152.4
20,0.01645,5,698,648,171.45
20,0.01645,5,709,648,190.5
20,0.01645,5,727,648,209.55
20,0.01645,5,749,648,228.6
30,0.02467,0,346,346,13.55
30,0.02467,0,349,348,27.09
30,0.02467,0,352,351,40.64
30,0.02467,0,355,355,54.19
30,0.02467,0,360,359,67.73
30,0.02467,0,362,361,81.28
30,0.02467,0,369,364,94.83
30,0.02467,0,374,364,108.37
30,0.02467,0,388,364,121.92
30,0.02467,0,410,364,135.47
30,0.02467,0,439,364,149.01
30,0.02467,0,448,364,162.56
30,0.02467,1,362,361,13.55
30,0.02467,1,369,367,27.09
30,0.02467,1,372,371,40.64
30,0.02467,1,385,382,54.19
30,0.02467,1,390,387,67.73
30,0.02467,1,392,389,81.28
30,0.02467,1,409,394,94.83
30,0.02467,1,424,394,108.37
30,0.02467,1,448,394,121.92
30,0.02467,1,476,394,135.47
30,0.02467,1,498,394,149.01
30,0.02467,1,516,394,162.56
30,0.02467,2,362,361,13.55
30,0.02467,2,379,377,27.09
30,0.02467,2,392,391,40.64
30,0.02467,2,405,402,54.19
30,0.02467,2,420,413,67.73
30,0.02467,2,432,428,81.28
30,0.02467,2,459,449,94.83
30,0.02467,2,484,449,108.37
30,0.02467,2,508,449,121.92
30,0.02467,2,536,449,135.47
30,0.02467,2,568,449,149.01
30,0.02467,2,572,449,162.56
30,0.02467,3,442,441,13.55
30,0.02467,3,479,477,27.09
30,0.02467,3,492,491,40.64
30,0.02467,3,505,502,54.19
30,0.02467,3,520,513,67.73
30,0.02467,3,532,528,81.28
30,0.02467,3,549,538,94.83
30,0.02467,3,574,538,108.37
30,0.02467,3,588,538,121.92
30,0.02467,3,597,538,135.47
30,0.02467,3,618,538,149.01
30,0.02467,3,642,538,162.56
30,0.02467,4,452,451,13.55
30,0.02467,4,489,487,27.09
30,0.02467,4,522,511,40.64
30,0.02467,4,545,542,54.19
30,0.02467,4,570,563,67.73
30,0.02467,4,582,578,81.28
30,0.02467,4,609,594,94.83
30,0.02467,4,634,594,108.37
30,0.02467,4,658,594,121.92
30,0.02467,4,677,594,135.47
30,0.02467,4,698,594,149.01
30,0.02467,4,712,594,162.56
30,0.02467,5,502,498,13.55
30,0.02467,5,559,552,27.09
30,0.02467,5,571,569,40.64
30,0.02467,5,595,583,54.19
30,0.02467,5,620,611,67.73
30,0.02467,5,652,638,81.28
30,0.02467,5,669,649,94.83
30,0.02467,5,684,649,108.37
30,0.02467,5,698,649,121.92
30,0.02467,5,707,649,135.47
30,0.02467,5,737,649,149.01
30,0.02467,5,752,649,162.56
40,0.03289,0,344,344,10.414
40,0.03289,0,341,340,20.828
40,0.03289,0,347,346,31.242
40,0.03289,0,350,348,41.656
40,0.03289,0,360,359,52.07
40,0.03289,0,373,365,62.484
40,0.03289,0,387,365,72.898
40,0.03289,0,399,365,83.312
40,0.03289,0,418,361,93.726
40,0.03289,0,426,365,104.14
40,0.03289,0,459,363,114.554
40,0.03289,0,468,365,124.968
40,0.03289,1,354,354,10.414
40,0.03289,1,361,360,20.828
40,0.03289,1,367,366,31.242
40,0.03289,1,380,378,41.656
40,0.03289,1,390,389,52.07
40,0.03289,1,403,396,62.484
40,0.03289,1,427,396,72.898
40,0.03289,1,449,398,83.312
40,0.03289,1,468,396,93.726
40,0.03289,1,486,396,104.14
40,0.03289,1,499,395,114.554
40,0.03289,1,528,396,124.968
40,0.03289,2,375,374,10.414
40,0.03289,2,394,390,20.828
40,0.03289,2,417,416,31.242
40,0.03289,2,435,428,41.656
