Flow rate,Temp,Pin,Pout,Time
10,0,369,360,248.92
10,1,409,391,248.92
10,2,459,446,248.92
10,3,559,535,248.92
10,4,608,591,248.92
10,5,665,646,248.92
20,0,369,362,133.35
20,1,429,393,133.35
20,2,459,447,133.35
20,3,559,537,133.35
20,4,609,592,133.35
20,5,669,648,133.35
30,0,369,364,94.83
30,1,409,394,94.83
30,2,459,449,94.83
30,3,549,538,94.83
30,4,609,594,94.83
30,5,669,649,94.83
40,0,373,365,62.484
40,1,403,396,62.484
40,2,463,450,62.484
40,3,563,540,62.484
40,4,613,595,62.484
40,5,673,650,62.484
50,0,373,367,51.816
50,1,413,398,51.816
50,2,463,453,51.816
50,3,563,542,51.816
50,4,613,597,51.816
50,5,675,652,51.816
60,0,382,368,44.704
60,1,408,400,44.704
60,2,488,455,44.704
60,3,558,543,44.704
60,4,606,598,44.704
60,5,676,653,44.704 
